"DepHour","Origin","OrigLong","OrigLat","ArrHour","Dest","DestLong","DestLat","n"
"12","ABQ",-106.60,35.04,"13","PHX",-112.01,33.43,105
"13","ABQ",-106.60,35.04,"13","PHX",-112.01,33.43,47
"13","ABQ",-106.60,35.04,"14","PHX",-112.01,33.43,125
"07","ABQ",-106.60,35.04,"10","MCI",-94.71,39.29,76
"15","ABQ",-106.60,35.04,"17","IAH",-95.34,29.98,84
"15","ABQ",-106.60,35.04,"17","MCI",-94.71,39.29,83
"10","ABQ",-106.60,35.04,"10","PHX",-112.01,33.43,22
"21","ABQ",-106.60,35.04,"23","MAF",-102.20,31.94,76
"08","ABQ",-106.60,35.04,"09","PHX",-112.01,33.43,20
"08","ABQ",-106.60,35.04,"08","PHX",-112.01,33.43,23
"07","ABQ",-106.60,35.04,"07","LAS",-115.15,36.08,91
"16","ACV",-124.10,40.97,"16","SFO",-122.37,37.61,29
"07","ACV",-124.10,40.97,"07","SFO",-122.37,37.61,60
"18","ACV",-124.10,40.97,"18","RDD",-122.29,40.50,86
"07","ACV",-124.10,40.97,"08","SFO",-122.37,37.61,30
"11","ACV",-124.10,40.97,"11","SFO",-122.37,37.61,90
"15","ACV",-124.10,40.97,"16","SFO",-122.37,37.61,48
"11","AGS",-81.96,33.36,"12","ATL",-84.42,33.63,91
"18","AGS",-81.96,33.36,"19","ATL",-84.42,33.63,43
"16","AGS",-81.96,33.36,"17","ATL",-84.42,33.63,87
"10","AGS",-81.96,33.36,"10","ATL",-84.42,33.63,90
"00","AGS",-81.96,33.36,"00","CAE",-81.11,33.93,70
"07","AGS",-81.96,33.36,"07","ATL",-84.42,33.63,72
"00","AGS",-81.96,33.36,"01","CAE",-81.11,33.93,16
"21","AGS",-81.96,33.36,"22","ATL",-84.42,33.63,60
"15","AGS",-81.96,33.36,"15","CLT",-80.94,35.21,92
"07","AGS",-81.96,33.36,"08","CLT",-80.94,35.21,92
"14","AGS",-81.96,33.36,"15","ATL",-84.42,33.63,76
"22","AGS",-81.96,33.36,"22","ATL",-84.42,33.63,12
"06","AGS",-81.96,33.36,"07","ATL",-84.42,33.63,17
"19","AGS",-81.96,33.36,"19","ATL",-84.42,33.63,44
"16","ALB",-73.80,42.74,"17","ROC",-77.67,43.11,5
"15","ALB",-73.80,42.74,"15","ROC",-77.67,43.11,23
"12","ALB",-73.80,42.74,"13","PIT",-80.23,40.49,91
"18","ALB",-73.80,42.74,"19","PIT",-80.23,40.49,90
"18","ALB",-73.80,42.74,"19","ROC",-77.67,43.11,47
"15","ALB",-73.80,42.74,"16","PIT",-80.23,40.49,90
"07","ALB",-73.80,42.74,"08","PIT",-80.23,40.49,91
"07","ALB",-73.80,42.74,"08","DTW",-83.35,42.21,59
"07","ALB",-73.80,42.74,"08","ATL",-84.42,33.63,1
"17","ALB",-73.80,42.74,"19","DTW",-83.35,42.21,64
"07","ALB",-73.80,42.74,"08","BWI",-76.66,39.17,91
"07","ALB",-73.80,42.74,"08","CLE",-81.84,41.41,59
"17","ALB",-73.80,42.74,"18","ATL",-84.42,33.63,1
"09","ALB",-73.80,42.74,"10","DCA",-77.03,38.85,28
"17","ALB",-73.80,42.74,"20","ATL",-84.42,33.63,84
"14","ALB",-73.80,42.74,"15","DCA",-77.03,38.85,78
"10","ALB",-73.80,42.74,"11","DCA",-77.03,38.85,54
"18","ALB",-73.80,42.74,"19","BUF",-78.73,42.94,5
"17","ALB",-73.80,42.74,"18","BUF",-78.73,42.94,29
"17","ALB",-73.80,42.74,"18","BWI",-76.66,39.17,90
"18","ALB",-73.80,42.74,"18","BUF",-78.73,42.94,54
